Ticker,1w,1m,3m,6m,1y
A.US,-6.2774027420140595,-6.9444444444444535,0.29043789097407124,-3.7315033240403195,1.8375680580762
AA.US,-1.8418201516793076,-6.861989205859665,-10.716925351071694,12.932377687753194,35.27435610302352
AAA.US,0.05095541401274328,-0.1795218047501823,0.17058589079315123,0.37060702875399976,-0.008752735229766717
AAAU.US,-0.7652173913043403,6.296572280178836,12.124189428178433,17.504118616144982,44.82233502538071
AACT.US,0.045289855072461194,0.5919854280509895,1.609935602575896,2.696420269642008,5.19047619047619
AACT.U.US,,,,,
AACT.W.US,,,,,
AAM.US,0.0,0.39525691699606735,1.0945273631840724,,
AAM.U.US,,,,,
AAM.W.US,,,,,
AAMI.US,2.4730753889110613,2.147117296222678,-13.268647747145524,10.340384408890802,20.582022999295944
AAP.US,5.813439434129086,4.679641373277943,16.92721055202735,-23.272960410322174,-25.50575785869904
AAPR.US,0.1887061436417703,0.924764179465476,1.176359158931617,5.37623801444187,
AAPX.US,14.908256880733939,12.880210289147588,-5.590452261306533,-8.576642335766438,24.54579730440798
AAPY.US,4.897188755020077,4.286547045812061,-3.004263157112941,-3.064738803200573,0.838149507958752
AAT.US,-1.0657193605683735,-9.834075273168752,-18.537477148080438,-12.248916896415906,3.4835113794705164
AB.US,3.0572540300166873,0.8430785966820675,3.6043587594300153,7.074790643950313,10.488676996424307
ABBV.US,1.3292003782704676,11.036269430051826,13.219841502788388,-0.27404343329886505,10.577915376677005
ABCB.US,-1.7952522255192949,3.7135694139768027,-5.415833095170052,15.939744263443668,41.310845431255316
ABEQ.US,-0.16862120907200628,1.6457621856566185,0.8660155888967402,4.035907213218937,15.241464273143258
ABEV.US,2.1505376344086002,4.972375690607733,-14.414414414414424,-21.161825726141092,-25.78125
ABFL.US,1.4756446991404104,4.620865681165576,3.410064779113009,14.010053745527241,20.563754276668522
ABG.US,3.1695289916680913,23.642810564069116,14.57003663280334,30.768567610672882,37.2652821139315
