Ticker,1w,1m,3m,6m,1y,Exchange
A,0.5197868550974816,-11.20367476088141,7.701481810610855,-3.3002430135643968,,NYSE
AA,-5.077262879049993,-7.898251857456351,-24.561397638200376,3.334336376764191,,NYSE
AACT,0.1358111654064187,0.49977559839922137,1.2171718978965407,2.8837248336437193,,NYSE
AAM,0.09842745110260065,0.3354419672788822,1.194028689369686,,,NYSE
AAMI,0.07784565978707914,0.19485283459808045,-14.042129001558145,10.34334732328579,,NYSE
AAP,-9.254231050807672,-8.296390951637743,12.831165264179178,-29.844961383581868,,NYSE
AAT,-2.019752015578624,-9.531700443654213,-21.587644381974513,-16.13523108777416,,NYSE
AB,-3.6407826918922304,-11.141506203033735,-2.1095902952429357,1.8819499662257266,,NYSE
ABBV,4.775240808333714,18.403939766271506,21.318360416300997,2.82399790679817,,NYSE
ABCB,-4.124495023776875,-1.1834352565933348,-7.640809299888951,9.225474614666318,,NYSE
ABEV,1.052630588288439,5.494500096186172,-11.926610170214458,-18.644065998710722,,NYSE
ABG,-8.900023217381891,6.36160676272548,10.340557260453087,17.58424226158839,,NYSE
ABM,-0.5290982407123113,0.018997380448970702,-4.913296948545409,-3.6426901694282754,,NYSE
ABR,-12.790699125045412,-9.842226734162828,-18.644067796610166,-8.745244501070214,,NYSE
ABR,-12.790699125045412,-9.842226734162828,-18.644067796610166,-8.745244501070214,,NYSE
D,3.3099480977465623,7.930842498237478,-0.27782574576867836,1.8081908536123903,,NYSE
ABR,-12.790699125045412,-9.842226734162828,-18.644067796610166,-8.745244501070214,,NYSE
E,-0.9877415173659698,2.4312915942982016,0.0,-9.55195940611311,,NYSE
ABR,-12.790699125045412,-9.842226734162828,-18.644067796610166,-8.745244501070214,,NYSE
F,-2.1097027312509398,-8.661418579303092,-16.01810341367932,-14.470051551149021,,NYSE
ABT,3.299898582384775,9.49520924552334,15.188253506945436,21.123977833043718,,NYSE
AC,-2.9576741746753954,5.898727956562966,4.159825998027711,17.10769653320312,,NYSE
ACA,-7.132866631855494,-7.3919091173243245,-11.424486148086876,6.398072750557748,,NYSE
ACCO,-15.083798138576876,-13.799622388234866,-20.140106614441166,-14.124293937513855,,NYSE
ACEL,-1.6366596145236056,6.277630519937993,5.253943760606705,6.654835577077023,,NYSE
ACHR,-11.787441759065576,-7.6845318756227465,77.9727078122284,139.0052427747155,,NYSE
ACI,-1.3442183757612303,3.8928135676704168,6.64244291069116,1.281411088228368,,NYSE
ACM,-2.8782062679413523,-9.978773197887458,-10.39235964136589,0.31889472432189425,,NYSE
ACN,-6.118554184117264,0.27528491249151354,2.912840006504447,9.190648411617719,,NYSE
ACP,-0.8077575165211792,0.655737089809616,-5.828222631174285,-4.953562999562577,,NYSE
ACP,-0.8077575165211792,0.655737089809616,-5.828222631174285,-4.953562999562577,,NYSE
A,0.5197868550974816,-11.20367476088141,7.701481810610855,-3.3002430135643968,,NYSE
ACR,2.953593883607475,8.746516033947627,17.307699361496674,22.921916354475446,,NYSE
ACR,2.953593883607475,8.746516033947627,17.307699361496674,22.921916354475446,,NYSE
C,-5.862190106007192,-2.8421587407237214,16.107876527032804,31.58764766590687,,NYSE
ACR,2.953593883607475,8.746516033947627,17.307699361496674,22.921916354475446,,NYSE
D,3.3099480977465623,7.930842498237478,-0.27782574576867836,1.8081908536123903,,NYSE
ACRE,-2.1696278065087005,-12.676053027315803,-30.434783190239834,-27.802036087758587,,NYSE
ACV,-3.4664365238752493,-3.762032315791508,0.8711624883545488,4.6622241717143575,,NYSE
ADC,2.577467367682651,1.9028971416298335,-6.050045169127605,0.10996815265249538,,NYSE
ADC,2.577467367682651,1.9028971416298335,-6.050045169127605,0.10996815265249538,,NYSE
A,0.5197868550974816,-11.20367476088141,7.701481810610855,-3.3002430135643968,,NYSE
ADCT,1.8749981839210061,-7.3863634054572085,-20.873784441358634,-44.557824370497926,,NYSE
ADM,4.5336230407060585,-4.875643956065467,-9.058318361420925,-18.625468366485087,,NYSE
ADNT,-1.166854508242332,0.2960399420726123,-10.606860939091867,-21.682842388713087,,NYSE
ADT,-2.9062121801844754,-0.675678244466027,-2.649010345029257,-0.8097158436581542,,NYSE
ADX,-1.963600880705474,-3.6252375991581043,-9.143370219744673,-3.761171260892826,,NYSE
AEE,0.479250761869765,5.604976416004548,6.96916845151041,19.65999118566353,,NYSE
AEFC,-1.815580805420547,-1.2494004591751762,-4.061628553382923,-8.585410785038583,,NYSE
AEG,-10.210207866639099,-7.999999706561745,-5.529224468420724,-7.142857671735969,,NYSE
AEM,0.260824208638355,8.342730304936685,16.555490638098714,16.203146336589704,,NYSE
AEO,-4.108629617126979,-20.58823335299347,-20.998277586520086,-36.77685939557017,,NYSE
AER,0.963258441012349,6.706548563723214,6.204945788901917,7.519036372590726,,NYSE
AES,6.646523938857274,-8.152641822664386,-22.981817072088074,-40.0679111099981,,NYSE
AESI,-5.669874855433532,-13.645878242652431,-1.3862376408686816,2.2806102267361794,,NYSE
AFB,0.8093538985082915,2.001822307648915,-0.08912859753865687,-2.3519121503097096,,NYSE
AFG,-2.80661836367061,-10.448432763880966,-13.437363618094622,-7.85911574819993,,NYSE
AFGB,-0.1320950264475651,-1.3484100436217838,-8.066476550319946,-8.952226238042316,,NYSE
AFGC,0.6873194550485184,3.0312010675106027,-5.273219886038516,-5.100365084974035,,NYSE
AFGD,-0.2728488702450349,-0.9037454278145174,-10.599267463066987,-9.079603888302445,,NYSE
AFGE,-1.2181579172766188,-1.3274323679807187,-8.135941902671595,-13.018040207206315,,NYSE
