Ticker,1w,1m,3m,6m,1y,Price,Value,Exchange
GBBK,0.042107577540106966,1.07959447557322,1.638145571634575,3.29529030874256,,11.359999656677246,11359.999656677246,NASDAQ
ALX,1.4619930169388784,12.178496565105256,-3.6417701159799143,-6.589704286153342,,217.39999389648438,2260959.9365234375,NYSE
AFCG,0.23803719888262354,1.7887329041145872,-12.869853666144682,-18.51780300307021,,8.40999984741211,698870.9873199463,NASDAQ
LANV,4.626708080466946,2.156056660493477,24.37499910593033,9.521187525541098,,2.0,8000.0,NYSE
HLVX,0.4429701099269323,-6.878849655324826,-5.7662320541559176,-2.6824021736202464,,1.840000033378601,118312.00214624405,NASDAQ
ASTH,-17.00581305859935,-25.3147307190429,-36.72838131417245,-42.44435208280787,,29.3799991607666,15095443.56880188,NASDAQ
HASI,0.1958882025215214,2.629883198643501,-7.468664824046478,-11.853767687289118,,29.920000076293945,35452208.090400696,NYSE
LRFC,-1.5114097224292244,-1.273043461990342,-4.160858158416858,13.360318621956967,,24.799999237060547,79359.99755859375,NASDAQ
TIL,-8.477802553920554,-18.22902722983084,-33.047431457482105,34.675220067574685,,18.309999465942383,1433672.9581832886,NASDAQ
LYFT,-4.207922658193642,-9.47368625054985,-28.20037347230202,7.930971268654141,,12.40999984741211,195152211.60049438,NASDAQ
MGRE,-0.7343653629588442,0.8698052331411743,-0.8908854930678167,-1.942277501013856,,25.059999465942383,172913.99631500244,NYSE
CHTR,4.4029260550831895,10.005150194051948,-4.5304727576784165,8.48101012366882,,379.5199890136719,600286766.6229248,NASDAQ
C,-7.869326881357718,-9.31044979414396,2.8083352369599135,17.82704398538084,,70.45999908447266,1283132951.3275146,NYSE
GNRC,-4.733277586341966,-10.230939597745559,-30.579681272970838,-13.557735062192345,,136.5800018310547,178277876.39007568,NYSE
ATUS,-8.969865144133726,-7.0150307471225855,3.588517137580749,38.33865845927846,,2.450000047683716,8897420.173168182,NYSE
EMP,,,,,,21.110000610351562,264297.20764160156,NYSE
IQ,5.687205301633869,1.733574983034436,3.8175009267023885,4.011192417826592,,2.3499999046325684,64954232.36403465,NASDAQ
TPGXL,-0.6883744940414327,1.598356052006844,-1.0633373042573946,-0.9641341961345806,,25.68000030517578,767832.0091247559,NASDAQ
UNFI,-12.431891156199947,-7.311899766798968,12.332287747087811,81.3724141280568,,26.90999984741211,25491842.85545349,NYSE
OLP,1.0349322322256826,2.9304617417640344,-11.089531619268989,-0.37517677716960574,,27.440000534057617,1832992.0356750488,NYSE
MKZR,8.324084359532158,-11.514052440804257,-39.99016215512571,-45.52963500494634,,2.130000114440918,189570.0101852417,NASDAQ
CL,2.579635903049704,6.375930042701006,-3.3299442512039756,-12.905639350546672,,96.73999786376953,976812780.4298401,NYSE
COST,-1.3699689919476232,1.8479109288117357,5.354086016150639,15.482509557447809,,964.3099975585938,5310455156.555176,NASDAQ
SCKT,-4.440789128630495,-19.417476627084827,-23.148147958343046,-1.8581083258022102,,1.1100000143051147,4773.000061511993,NASDAQ
MYTE,-1.4821780726084643,14.575601723638831,57.07448263489005,179.75492094607796,,10.029999732971191,2403187.9360198975,NYSE
MHF,-2.3513879671471893,3.761929211904791,2.981332376310908,3.5584197138084583,,7.46999979019165,357812.98995018005,NYSE
ODV,0.6051449575966705,-14.961636407578338,-26.43805402071766,-35.74879338892703,,1.3700000047683716,270301.0009407997,NYSE
FNKO,-15.466602371578608,-23.09294625563637,-7.8095399883673755,4.032259618841594,,8.96500015258789,26312275.44784546,NASDAQ
ISRG,-4.607298822984484,-5.217567915380017,1.5728398882757677,13.291556983263785,,518.260009765625,1911291090.0146484,NASDAQ
JSM,-0.22743648753810186,1.8360238078648283,-4.445544327839768,-3.596042873600702,,19.469999313354492,188858.99333953857,NASDAQ
OMER,-7.381454730466275,-10.314409445107586,-32.129408478690316,95.03196902280082,,7.659999847412109,5033385.899734497,NASDAQ
BNRG,-15.58784596263887,-7.122091434114264,62.430098630384045,20.157957017272366,,1.2400000095367432,135408.00104141235,NASDAQ
LSE,-3.5703852261725566,-29.20749651337563,,,,5.199999809265137,38479.99858856201,NASDAQ
NVX,-13.240132583472919,-28.328804811066632,-49.71401419049637,-33.89724356453582,,1.090000033378601,87418.0026769638,NASDAQ
NIM,-0.06531620459798715,1.773838480175538,2.204408268668323,-1.481001585260966,,9.15999984741211,171291.99714660645,NYSE
QETA,-0.14961646667923656,0.8690724424388785,1.461392021236052,3.0098407304979924,,10.670000076293945,5335.000038146973,NASDAQ
FEBO,-12.09339842378061,-23.543417333975725,-45.95049462413311,-82.3561732988977,,1.090000033378601,3924.000120162964,NASDAQ
GES,-6.848562038670303,-19.788708959260415,-39.98348059628274,-49.69840579372299,,10.960000038146973,20000904.06961441,NYSE
BIOX,4.1628148795955555,-33.57911718505496,-35.78556984964196,-58.319451838671,,5.190000057220459,2133609.0235233307,NASDAQ
VSTA,8.70434191780982,13.572870533473424,28.65415998512859,39.83156065526132,,3.2100000381469727,29211.00034713745,NASDAQ
TLS,-3.4414293602363477,-7.010834293313817,-13.154761982477714,-19.481235911906136,,2.869999885559082,905197.9639053345,NASDAQ
MTN,0.019072031499201003,-6.823402366990106,-12.7760787287997,-13.893083924843431,,157.50999450683594,101861713.4475708,NYSE
LVLU,-18.24758830375435,-30.02293698792554,-50.3660328269838,-54.40824807161337,,0.5360000133514404,15812.000393867493,NASDAQ
SONO,-1.5303047999424613,-7.249892886871656,-5.386518899210757,7.992687672899024,,12.880000114440918,17373832.154369354,NASDAQ
